订单号,交易流水号,刷卡时间,交易金额(元),线路号,车辆编号,票价(元)
U17900684201802261844463496,184447207931,2018/2/26 18:44:46,2.00,10,1416,2.00
U17A01029201802261844476582,184447208692,2018/2/26 18:44:47,1.00,74,1497,1.00
U17900680201802261844470136,184448209683,2018/2/26 18:44:47,2.00,39,1456,2.00
U17B00830201802261844485820,184448206378,2018/2/26 18:44:48,1.00,57,1131,1.00
U17C01235201802261844464820,184447209475,2018/2/26 18:44:46,2.00,33,3101,2.00
U17900099201802261844492318,184450209476,2018/2/26 18:44:49,2.00,2,2003,2.00
U17B00423201802261844489120,184449211444,2018/2/26 18:44:48,1.00,46,2285,1.00
U17C00075201802261844533988,184451208694,2018/2/26 18:44:53,2.00,51,3112,2.00
U17C01323201802261844490014,184450211237,2018/2/26 18:44:49,1.00,71,3038,2.00
U17B00150201802261844490035,184451207340,2018/2/26 18:44:49,0.01,51,1376,1.00
U17B00391201802261844510061,184451209876,2018/2/26 18:44:51,1.00,8,2054,2.00
U17803056201802261844544270,184452207341,2018/2/26 18:44:54,2.00,59,2081,2.00
U17900680201802261844520137,184453206379,2018/2/26 18:44:52,2.00,39,1456,2.00
U17C00075201802261844551500,184453205599,2018/2/26 18:44:55,2.00,51,3112,2.00
U17B00323201802261844531684,184454211238,2018/2/26 18:44:53,2.00,100,1806,2.00
U17B00358201802261844525451,184453207342,2018/2/26 18:44:52,2.00,4,1620,2.00
U17A01029201802261844554184,184455211811,2018/2/26 18:44:55,1.00,74,1497,1.00
U17B00476201802261844540170,184456211617,2018/2/26 18:44:54,1.00,75,1332,1.00
U17B00800201802261844558411,184455206556,2018/2/26 18:44:55,1.00,12,1107,1.00
U17B00786201802261844562320,184456211446,2018/2/26 18:44:56,1.00,3,778,1.00
U17B00804201802261844563408,184456208355,2018/2/26 18:44:56,1.00,3,770,1.00
U17900231201802261844583956,184457209478,2018/2/26 18:44:58,2.00,36,3007,2.00
U17B00582201802261844567770,184457207933,2018/2/26 18:44:56,2.00,100,1804,2.00
U17C01235201802261844571180,184458206926,2018/2/26 18:44:57,2.00,33,3101,2.00
U17A01188201802261844590586,184458208524,2018/2/26 18:44:59,2.00,77,2016,2.00
U17C00075201802261845027974,184500211447,2018/2/26 18:45:02,2.00,51,3112,2.00
U17C01170201802261844587324,184459212006,2018/2/26 18:44:58,2.00,33,3099,2.00
U17900308201802261845003410,184501207343,2018/2/26 18:45:00,2.00,6,1479,2.00
U17900684201802261845031406,184504210856,2018/2/26 18:45:03,2.00,10,1416,2.00
U17C01235201802261845038250,184504211057,2018/2/26 18:45:03,2.00,33,3101,2.00
U17B00692201802261845078954,184507208527,2018/2/26 18:45:07,1.00,35,753,1.00
U17900231201802261845091108,184508206182,2018/2/26 18:45:09,2.00,36,3007,2.00
U17B00840201802261845090352,184509211620,2018/2/26 18:45:09,1.00,3,775,1.00
U17C01170201802261845088650,184509211812,2018/2/26 18:45:08,2.00,33,3099,2.00
U17C01386201802261845097994,184509211448,2018/2/26 18:45:09,2.00,71,3033,2.00
U17700380201802261845146542,184515207146,2018/2/26 18:45:14,2.00,5,2036,2.00
U17B00846201802261845141670,184515211449,2018/2/26 18:45:14,1.00,58,1486,1.00
U17B00358201802261845149210,184515206561,2018/2/26 18:45:14,2.00,4,1620,2.00
U17B00692201802261845155048,184515212201,2018/2/26 18:45:15,1.00,35,753,1.00
U17B00800201802261845162810,184515211241,2018/2/26 18:45:16,1.00,12,1107,1.00
U17C01055201802261845155266,184516206383,2018/2/26 18:45:15,2.00,33,3108,2.00
U17B00639201802261845163684,184517207147,2018/2/26 18:45:16,2.00,44,2111,2.00
U17B00643201802261845171186,184518208528,2018/2/26 18:45:17,1.00,22,1224,1.00
U17C01055201802261845170073,184518208128,2018/2/26 18:45:17,1.00,33,3108,2.00
U17A00373201802261845191244,184519206769,2018/2/26 18:45:19,2.00,37,2415,2.00
U17B00275201802261845180058,184519207149,2018/2/26 18:45:18,1.00,807,2432,2.00
U17C01170201802261845164187,184518207148,2018/2/26 18:45:16,2.00,33,3099,2.00
U17A00373201802261845205488,184520211242,2018/2/26 18:45:20,2.00,37,2415,2.00
U17B00494201802261845200064,184520208359,2018/2/26 18:45:20,2.00,805,2155,2.00
U17B00094201802261845191183,184521207344,2018/2/26 18:45:19,1.00,7,1359,1.00
U17B00251201802261845226448,184522207151,2018/2/26 18:45:22,2.00,8,2056,2.00
U17900719201802261845228690,184523210460,2018/2/26 18:45:22,2.00,1,823,2.00
U17B00163201802261845230408,184524210075,2018/2/26 18:45:23,2.00,8,840,2.00
U17B00358201802261845231318,184525209300,2018/2/26 18:45:23,2.00,4,1620,2.00
U17B00821201802261845226006,184524209689,2018/2/26 18:45:22,2.00,69,2443,2.00
U17B00846201802261845248212,184525209482,2018/2/26 18:45:24,1.00,58,1486,1.00
U17A00373201802261845262473,184526207346,2018/2/26 18:45:26,2.00,37,2415,2.00
U17A01104201802261845247158,184526208131,2018/2/26 18:45:24,2.00,10,1415,2.00
U17900078201802261845287028,184528212205,2018/2/26 18:45:28,2.00,39,1457,2.00
U17C01357201802261845290104,184530209079,2018/2/26 18:45:29,1.00,33,3105,2.00
U17B00639201802261845305766,184531210277,2018/2/26 18:45:30,2.00,44,2111,2.00
U17B00850201802261845300050,184531211815,2018/2/26 18:45:30,1.00,66,2404,2.00
U17900097201802261845322582,184533207347,2018/2/26 18:45:32,2.00,10,1410,2.00
U17B00131201802261845329782,184533207152,2018/2/26 18:45:32,2.00,33,2090,2.00
U17B00349201802261845315006,184532209690,2018/2/26 18:45:31,2.00,40,1635,2.00
U17B00800201802261845332008,184532210857,2018/2/26 18:45:33,1.00,12,1107,1.00
U17B00850201802261845321956,184533209081,2018/2/26 18:45:32,2.00,66,2404,2.00
U17B00723201802261845338964,184533212011,2018/2/26 18:45:33,2.00,69,2440,2.00
U17B00813201802261845315744,184533211623,2018/2/26 18:45:31,1.00,80,681,1.00
U17900640201802261845310073,184533210663,2018/2/26 18:45:31,2.00,10,1417,2.00
U17B00814201802261845342423,184534207348,2018/2/26 18:45:34,2.00,5,2037,2.00
U17900411201802261845348360,184535212206,2018/2/26 18:45:34,2.00,10,1406,2.00
U17B00251201802261845341279,184535212012,2018/2/26 18:45:34,2.00,8,2056,2.00
U17B00556201802261845362516,184536210076,2018/2/26 18:45:36,2.00,4,1626,2.00
U17B00314201802261845353376,184537208698,2018/2/26 18:45:35,2.00,51,2139,2.00
U17B00850201802261845375924,184537211061,2018/2/26 18:45:37,2.00,66,2404,2.00
U17B00608201802261845414062,184540210080,2018/2/26 18:45:41,2.00,8,2050,2.00
U17400042201802261845398818,184540207555,2018/2/26 18:45:39,2.00,38,2072,2.00
U17B00244201802261845436824,184542206387,2018/2/26 18:45:43,2.00,4,1618,2.00
U17900078201802261845415250,184542209492,2018/2/26 18:45:41,2.00,39,1457,2.00
